our_price,competitor_price,rpi,price_gap,days_since_last_purchase,user_loyalty,purchased
62.44,81.72,0.764,-19.28,18,6,1
143.1,171.56,0.834,-28.46,2,1,1
112.48,87.24,1.289,25.24,5,6,1
93.81,181.96,0.516,-88.15,15,4,1
31.84,50.53,0.63,-18.69,9,4,1
31.84,83.97,0.379,-52.13,18,5,1
18.13,7.01,2.586,11.12,45,9,0
131.26,267.58,0.491,-136.31,1,1,1
94.16,222.2,0.424,-128.05,17,3,1
109.13,256.52,0.425,-147.39,3,4,1
12.88,34.68,0.371,-21.8,7,2,1
145.79,330.7,0.441,-184.92,1,9,1
126.54,354.96,0.356,-228.42,2,7,1
39.73,47.6,0.835,-7.87,5,1,0
35.46,58.81,0.603,-23.35,5,9,1
35.68,12.06,2.958,23.62,32,6,0
52.59,16.77,3.137,35.83,18,2,0
83.47,79.15,1.054,4.31,50,1,0
70.47,40.32,1.748,30.15,12,6,0
50.77,50.9,0.997,-0.13,3,7,1
95.66,74.42,1.285,21.23,5,10,1
29.53,11.13,2.652,18.4,5,6,0
50.9,140.24,0.363,-89.34,5,7,1
61.29,19.75,3.104,41.54,15,6,0
73.85,168.93,0.437,-95.08,10,8,1
119.92,85.24,1.407,34.68,6,2,0
37.95,104.87,0.362,-66.91,2,9,1
81.99,222.25,0.369,-140.25,1,9,1
92.94,191.97,0.484,-99.03,3,9,1
16.5,34.9,0.473,-18.4,1,7,1
95.06,29.89,3.181,65.17,21,9,0
33.87,100.24,0.338,-66.36,1,1,1
19.11,51.02,0.375,-31.91,18,3,1
142.84,388.08,0.368,-245.23,6,2,1
145.19,301.99,0.481,-156.8,1,1,1
123.18,151.62,0.812,-28.44,23,5,1
52.65,142.82,0.369,-90.17,12,1,1
23.67,25.74,0.92,-2.06,3,3,1
105.79,192.47,0.55,-86.68,31,6,1
71.62,40.77,1.757,30.85,1,6,0
27.09,75.55,0.359,-48.46,3,3,1
79.32,53.95,1.47,25.38,19,4,0
14.81,13.44,1.102,1.37,17,7,0
137.3,248.1,0.553,-110.8,4,6,1
46.23,109.24,0.423,-63.01,1,2,1
102.75,202.65,0.507,-99.9,27,9,1
53.64,49.71,1.079,3.93,5,6,0
82.81,25.05,3.305,57.76,3,2,0
86.54,202.87,0.427,-116.34,10,7,1
35.88,106.21,0.338,-70.33,33,10,1
145.74,362.43,0.402,-216.68,1,10,1
118.52,182.82,0.648,-64.3,20,4,1
141.53,387.82,0.365,-246.29,11,1,1
135.28,190.28,0.711,-55.0,7,10,1
93.71,160.92,0.582,-67.22,19,9,1
139.06,220.87,0.63,-81.8,47,10,1
22.39,33.78,0.663,-11.39,3,8,1
37.44,89.59,0.418,-52.15,2,5,1
16.33,28.13,0.581,-11.8,34,3,1
55.55,64.16,0.866,-8.62,15,4,1
64.41,64.22,1.003,0.19,8,3,0
47.99,19.29,2.488,28.7,11,10,0
126.02,236.25,0.533,-110.22,19,8,1
59.95,55.2,1.086,4.74,20,5,1
49.33,34.53,1.429,14.8,35,8,0
85.98,177.57,0.484,-91.6,7,1,1
29.73,63.6,0.467,-33.87,4,9,1
122.31,285.08,0.429,-162.77,14,10,1
20.44,33.92,0.603,-13.48,7,3,1
148.16,402.11,0.368,-253.95,12,1,1
118.11,334.04,0.354,-215.93,7,3,1
37.82,93.79,0.403,-55.97,2,2,1
10.77,21.72,0.496,-10.95,8,7,1
124.16,139.07,0.893,-14.91,16,10,1
108.96,321.86,0.339,-212.9,22,4,1
112.06,116.56,0.961,-4.5,9,7,1
117.98,99.95,1.18,18.03,2,3,0
20.37,30.42,0.669,-10.06,7,6,1
60.19,27.29,2.205,32.89,21,7,0
26.22,77.14,0.34,-50.92,7,7,1
130.83,247.12,0.529,-116.28,16,5,1
97.26,175.44,0.554,-78.18,9,6,1
56.33,116.63,0.483,-60.31,3,3,1
18.9,31.03,0.609,-12.13,22,4,1
53.54,20.7,2.587,32.84,1,6,0
55.53,108.45,0.512,-52.93,10,3,1
112.14,250.49,0.448,-138.35,3,7,1
99.26,141.46,0.702,-42.21,1,3,1
134.21,314.68,0.426,-180.47,9,9,1
76.11,69.48,1.095,6.63,9,4,0
26.74,24.0,1.114,2.74,17,2,0
109.85,80.83,1.359,29.02,19,6,0
116.51,151.97,0.767,-35.46,18,9,1
88.58,229.15,0.387,-140.57,7,10,1
117.94,299.01,0.394,-181.07,13,10,1
79.13,105.53,0.75,-26.4,12,2,1
83.18,157.27,0.529,-74.08,7,4,1
69.86,156.91,0.445,-87.05,12,5,1
13.56,12.9,1.051,0.66,41,9,1
25.1,18.93,1.326,6.18,3,7,0
14.4,42.12,0.342,-27.72,33,5,1
99.1,194.96,0.508,-95.87,1,6,1
54.01,159.32,0.339,-105.31,5,9,1
81.2,98.41,0.825,-17.21,4,4,1
137.06,301.28,0.455,-164.22,13,2,1
44.9,40.46,1.11,4.44,1,5,1
67.45,67.81,0.995,-0.35,29,7,0
115.78,194.75,0.594,-78.98,24,4,1
42.03,48.88,0.86,-6.85,14,1,0
20.78,15.64,1.329,5.14,8,8,1
50.57,51.06,0.99,-0.49,37,5,1
32.57,12.92,2.522,19.66,24,10,0
140.16,308.62,0.454,-168.46,9,2,1
123.14,200.55,0.614,-77.42,16,3,1
98.68,54.71,1.804,43.96,11,10,0
132.0,100.8,1.31,31.21,12,10,1
122.51,70.67,1.734,51.84,5,5,0
36.12,70.58,0.512,-34.46,8,4,1
134.96,74.82,1.804,60.14,1,9,0
85.51,199.79,0.428,-114.29,6,9,1
123.04,43.73,2.814,79.32,16,8,0
135.45,131.84,1.027,3.61,42,2,0
54.52,147.47,0.37,-92.95,46,5,1
25.41,56.91,0.446,-31.51,11,8,1
41.91,20.83,2.012,21.08,13,8,0
69.8,175.68,0.397,-105.88,2,7,1
124.52,203.12,0.613,-78.6,16,4,1
130.5,337.52,0.387,-207.02,1,3,1
10.97,21.09,0.52,-10.12,4,8,1
81.5,174.5,0.467,-92.99,15,8,1
68.44,204.11,0.335,-135.67,5,10,1
41.1,38.11,1.078,2.99,1,5,1
26.78,53.15,0.504,-26.37,24,3,1
57.27,88.35,0.648,-31.09,5,5,1
142.01,57.73,2.46,84.28,1,4,0
55.25,18.73,2.949,36.52,1,8,0
82.63,51.39,1.608,31.24,4,2,0
108.42,222.54,0.487,-114.12,2,8,1
60.91,111.54,0.546,-50.64,20,10,1
146.05,262.05,0.557,-116.0,5,6,1
144.74,55.87,2.591,88.87,22,4,0
45.25,70.91,0.638,-25.66,2,3,1
79.61,222.64,0.358,-143.03,9,10,1
52.12,71.59,0.728,-19.47,16,5,1
49.88,99.12,0.503,-49.24,14,6,1
15.16,36.48,0.416,-21.31,12,1,1
95.34,230.4,0.414,-135.06,36,1,1
